GTEX-N7MS-0007-SM-2D7W1	GSM1117144_GTEX-N7MS-0007-SM-2D43E.CEL
GTEX-NPJ8-0011-R6a-SM-2HMKB	GSM1117223_GTEX-NPJ8-0011-R6a-SM-2AXVV.CEL
GTEX-NPJ8-0011-R7a-SM-2HMJV	GSM1117224_GTEX-NPJ8-0011-R7a-SM-2AXVP.CEL
GTEX-NPJ8-0011-R8a-SM-2HMLG	GSM1117225_GTEX-NPJ8-0011-R8a-SM-2AXVK.CEL
GTEX-NPJ8-0011-R9a-SM-2YUN5	GSM1117226_GTEX-NPJ8-0011-R9a-SM-2QU2O.CEL
GTEX-NPJ8-0126-SM-2YUNR	GSM1117227_GTEX-NPJ8-0126-SM-2QU56.CEL
GTEX-NPJ8-0326-SM-2D7VV	GSM1117228_GTEX-NPJ8-0326-SM-2D43G.CEL
GTEX-NPJ8-0426-SM-2HMK6	GSM1117229_GTEX-NPJ8-0426-SM-2AXU1.CEL
GTEX-NPJ8-1326-SM-3LK6B	GSM1117230_GTEX-NPJ8-1326-SM-2AXTY.CEL
GTEX-NPJ8-1526-SM-2D7VU	GSM1117231_GTEX-NPJ8-1526-SM-2D43H.CEL
GTEX-NPJ8-1626-SM-2HMIY	GSM1117232_GTEX-NPJ8-1626-SM-2AXTZ.CEL
GTEX-NPJ8-1726-SM-2YUNB	GSM1117233_GTEX-NPJ8-1726-SM-2QU3J.CEL
GTEX-NPJ8-1826-SM-2YUNC	GSM1117234_GTEX-NPJ8-1826-SM-2QU3L.CEL
GTEX-NPJ8-2526-SM-2HML8	GSM1117235_GTEX-NPJ8-2526-SM-2AXTX.CEL
GTEX-NPJ8-2626-SM-2D7W2	GSM1117236_GTEX-NPJ8-2626-SM-2D43I.CEL
GTEX-O5YV-0006-SM-2I5GX	GSM1117237_GTEX-O5YV-0006-SM-2AXVG.CEL
GTEX-O5YV-0326-SM-2I5H2	GSM1117238_GTEX-O5YV-0326-SM-2AXWH.CEL
GTEX-O5YV-1626-SM-2YUNJ	GSM1117240_GTEX-O5YV-1626-SM-2QU48.CEL
GTEX-O5YV-1826-SM-2YUNI	GSM1117241_GTEX-O5YV-1826-SM-2QU4A.CEL
GTEX-O5YW-0006-SM-3LK6E	GSM1117242_GTEX-O5YW-0006-SM-2D45A.CEL
GTEX-O5YW-0126-SM-3LK6D	GSM1117243_GTEX-O5YW-0126-SM-2D45C.CEL
GTEX-O5YW-0326-SM-2I5EI	GSM1117244_GTEX-O5YW-0326-SM-2D45D.CEL
GTEX-O5YW-0526-SM-2YUMX	GSM1117245_GTEX-O5YW-0526-SM-2M47W.CEL
GTEX-O5YW-1826-SM-2YUN2	GSM1117246_GTEX-O5YW-1826-SM-2M47V.CEL
GTEX-OHPK-0006-SM-2HMKH	GSM1117255_GTEX-OHPK-0006-SM-2D45H.CEL
GTEX-OHPK-0326-SM-2HMJO	GSM1117256_GTEX-OHPK-0326-SM-2D456.CEL
GTEX-OHPK-0526-SM-2HMJB	GSM1117257_GTEX-OHPK-0526-SM-2D455.CEL
GTEX-OHPK-1626-SM-2YUN3	GSM1117258_GTEX-OHPK-1626-SM-2M47T.CEL
GTEX-OHPK-1826-SM-2YUMR	GSM1117259_GTEX-OHPK-1826-SM-2M47R.CEL
GTEX-OHPK-2626-SM-2HMK9	GSM1117260_GTEX-OHPK-2626-SM-2D457.CEL
GTEX-OHPL-0126-SM-2HMJ7	GSM1117261_GTEX-OHPL-0126-SM-2AXUS.CEL
GTEX-OHPL-1626-SM-2HMIR	GSM1117264_GTEX-OHPL-1626-SM-2AXUX.CEL
GTEX-OHPL-1826-SM-2YUN8	GSM1117265_GTEX-OHPL-1826-SM-2QU3B.CEL
GTEX-OHPL-2626-SM-2HMJA	GSM1117266_GTEX-OHPL-2626-SM-2AXUT.CEL
GTEX-OHPM-0006-SM-2HMKU	GSM1117267_GTEX-OHPM-0006-SM-2AXV8.CEL
GTEX-OHPM-0126-SM-2YUN9	GSM1117268_GTEX-OHPM-0126-SM-2QU3F.CEL
GTEX-OHPM-0326-SM-33HCA	GSM1117269_GTEX-OHPM-0326-SM-2AXUU.CEL
GTEX-OHPM-0526-SM-2YUMJ	GSM1117270_GTEX-OHPM-0526-SM-2AXUY.CEL
GTEX-OHPM-1626-SM-2HMK4	GSM1117271_GTEX-OHPM-1626-SM-2AXUZ.CEL
GTEX-OHPM-1826-SM-2YUNF	GSM1117272_GTEX-OHPM-1826-SM-2QU3Z.CEL
GTEX-OHPN-0005-SM-2YUML	GSM1117274_GTEX-OHPN-0005-SM-2AXVX.CEL
GTEX-OHPN-0011-R11A-SM-2I5FM	GSM1117276_GTEX-OHPN-0011-R11A-SM-2IZJB.CEL
GTEX-OHPN-0011-R1A-SM-2I5GB	GSM1117277_GTEX-OHPN-0011-R1A-SM-2M49D.CEL
GTEX-OHPN-0011-R2A-SM-2I5FB	GSM1117278_GTEX-OHPN-0011-R2A-SM-2IZJ3.CEL
GTEX-OHPN-0011-R3A-SM-2I5FC	GSM1117279_GTEX-OHPN-0011-R3A-SM-2IZJ4.CEL
GTEX-OHPN-0011-R4A-SM-2I5FD	GSM1117280_GTEX-OHPN-0011-R4A-SM-2IZJ5.CEL
GTEX-OHPN-0011-R5A-SM-2I5FF	GSM1117281_GTEX-OHPN-0011-R5A-SM-2IZJ6.CEL
GTEX-OHPN-0011-R6A-SM-2I5FH	GSM1117282_GTEX-OHPN-0011-R6A-SM-2IZJ7.CEL
GTEX-OHPN-0011-R7A-SM-2I5FI	GSM1117283_GTEX-OHPN-0011-R7A-SM-2IZJ8.CEL
GTEX-OHPN-0011-R8A-SM-33HBT	GSM1117284_GTEX-OHPN-0011-R8A-SM-2IZJ9.CEL
GTEX-OHPN-0011-R9A-SM-2YUMN	GSM1117285_GTEX-OHPN-0011-R9A-SM-2IZJL.CEL
GTEX-OHPN-2526-SM-2I5H3	GSM1117286_GTEX-OHPN-2526-SM-2IZJH.CEL
GTEX-OHPN-2626-SM-2I5H1	GSM1117287_GTEX-OHPN-2626-SM-2IZJG.CEL
GTEX-OHPN-2726-SM-2I5H4	GSM1117288_GTEX-OHPN-2726-SM-2AXWJ.CEL
GTEX-OIZF-0006-SM-2I5GQ	GSM1117289_GTEX-OIZF-0006-SM-2AXUB.CEL
GTEX-OIZG-0005-SM-2HMJC	GSM1117297_GTEX-OIZG-0005-SM-2AXUC.CEL
GTEX-OIZG-0226-SM-2TC5L	GSM1117298_GTEX-OIZG-0226-SM-2AXUG.CEL
GTEX-OIZG-0526-SM-2HMLF	GSM1117299_GTEX-OIZG-0526-SM-2AXUH.CEL
GTEX-OIZG-1126-SM-2HMIU	GSM1117301_GTEX-OIZG-1126-SM-2AXUQ.CEL
GTEX-OIZG-1326-SM-2HMIQ	GSM1117302_GTEX-OIZG-1326-SM-2AXUO.CEL
GTEX-OIZH-0005-SM-2HMJN	GSM1117304_GTEX-OIZH-0005-SM-2AXUD.CEL
GTEX-OIZH-0126-SM-2HMIS	GSM1117305_GTEX-OIZH-0126-SM-2D44Z.CEL
GTEX-OIZH-0226-SM-2YUMH	GSM1117306_GTEX-OIZH-0226-SM-2AXUJ.CEL
GTEX-OIZH-0326-SM-2HMKC	GSM1117307_GTEX-OIZH-0326-SM-2AXUF.CEL
GTEX-OIZH-0526-SM-2HMKV	GSM1117308_GTEX-OIZH-0526-SM-2AXUN.CEL
GTEX-OIZH-1626-SM-2HMKI	GSM1117309_GTEX-OIZH-1626-SM-2D451.CEL
GTEX-OIZH-1826-SM-2YUNP	GSM1117310_GTEX-OIZH-1826-SM-2QU54.CEL
GTEX-OIZH-2626-SM-2HMJM	GSM1117311_GTEX-OIZH-2626-SM-2D44X.CEL
GTEX-OIZI-0005-SM-2XCED	GSM1117312_GTEX-OIZI-0005-SM-2XV5F.CEL
GTEX-OIZI-0008-SM-2XCFD	GSM1117313_GTEX-OIZI-0008-SM-2XV77.CEL
GTEX-OIZI-0226-SM-2XCEE	GSM1117314_GTEX-OIZI-0226-SM-2XV4P.CEL
GTEX-OIZI-0426-SM-2XCEF	GSM1117315_GTEX-OIZI-0426-SM-2XV52.CEL
GTEX-OIZI-0526-SM-2XCEG	GSM1117316_GTEX-OIZI-0526-SM-2XV55.CEL
GTEX-OIZI-0626-SM-2XCEH	GSM1117317_GTEX-OIZI-0626-SM-2XV6K.CEL
GTEX-OIZI-0726-SM-2XCEI	GSM1117318_GTEX-OIZI-0726-SM-2XV6V.CEL
GTEX-OOBJ-0006-SM-2I3F4	GSM1117319_GTEX-OOBJ-0006-SM-2D44R.CEL
GTEX-OOBJ-0226-SM-2YUMM	GSM1117320_GTEX-OOBJ-0226-SM-2D453.CEL
GTEX-OOBJ-1626-SM-2I3F7	GSM1117322_GTEX-OOBJ-1626-SM-2D44Y.CEL
GTEX-OOBJ-2626-SM-2I3F6	GSM1117323_GTEX-OOBJ-2626-SM-2D44W.CEL
GTEX-OOBK-0005-SM-2YUMG	GSM1117324_GTEX-OOBK-0005-SM-2D43L.CEL
GTEX-OOBK-0126-SM-2YUND	GSM1117325_GTEX-OOBK-0126-SM-2QU3Y.CEL
GTEX-OOBK-0526-SM-2HMJJ	GSM1117326_GTEX-OOBK-0526-SM-2D43Q.CEL
GTEX-OOBK-1626-SM-2HMKG	GSM1117327_GTEX-OOBK-1626-SM-2D43R.CEL
GTEX-OOBK-2626-SM-2HMKY	GSM1117328_GTEX-OOBK-2626-SM-2D43S.CEL
GTEX-OXRK-0006-SM-2HML1	GSM1117329_GTEX-OXRK-0006-SM-2D43M.CEL
GTEX-OXRK-0626-SM-2HMJ5	GSM1117334_GTEX-OXRK-0626-SM-2D44M.CEL
GTEX-OXRK-0826-SM-2HMK7	GSM1117335_GTEX-OXRK-0826-SM-2D44K.CEL
GTEX-OXRK-0926-SM-2HMKP	GSM1117336_GTEX-OXRK-0926-SM-2D44V.CEL
GTEX-OXRK-1826-SM-2HMJE	GSM1117337_GTEX-OXRK-1826-SM-2D44B.CEL
GTEX-OXRL-0005-SM-3LK6A	GSM1117338_GTEX-OXRL-0005-SM-2D43N.CEL
GTEX-OXRL-0126-SM-2YUMP	GSM1117339_GTEX-OXRL-0126-SM-2M47I.CEL
GTEX-OXRL-0326-SM-2I3F2	GSM1117340_GTEX-OXRL-0326-SM-2D44H.CEL
GTEX-OXRL-0526-SM-2I3EZ	GSM1117341_GTEX-OXRL-0526-SM-2D44C.CEL
GTEX-OXRL-1626-SM-2YUMU	GSM1117342_GTEX-OXRL-1626-SM-2M47M.CEL
GTEX-OXRL-1826-SM-2YUMV	GSM1117343_GTEX-OXRL-1826-SM-2M47K.CEL
GTEX-OXRL-2626-SM-2I3F1	GSM1117344_GTEX-OXRL-2626-SM-2D44F.CEL
GTEX-OXRN-0005-SM-2I5EU	GSM1117345_GTEX-OXRN-0005-SM-2D43O.CEL
GTEX-OXRN-0011-R10A-SM-2I5GC	GSM1117346_GTEX-OXRN-0011-R10A-SM-2M49E.CEL
GTEX-OXRN-0011-R5A-SM-2I5EF	GSM1117347_GTEX-OXRN-0011-R5A-SM-2D45L.CEL
GTEX-OXRN-0226-SM-2I5EJ	GSM1117349_GTEX-OXRN-0226-SM-2D44T.CEL
GTEX-OXRN-0526-SM-2I5EN	GSM1117350_GTEX-OXRN-0526-SM-2D44N.CEL
GTEX-OXRN-1226-SM-2I5EL	GSM1117351_GTEX-OXRN-1226-SM-2D44Q.CEL
GTEX-OXRN-2426-SM-2I5EQ	GSM1117353_GTEX-OXRN-2426-SM-2M48I.CEL
GTEX-OXRO-0006-SM-2I5EM	GSM1117354_GTEX-OXRO-0006-SM-2D44O.CEL
GTEX-OXRO-0011-R10A-SM-2I5EH	GSM1117355_GTEX-OXRO-0011-R10A-SM-2D45I.CEL
GTEX-OXRO-0011-R5A-SM-2I5EG	GSM1117356_GTEX-OXRO-0011-R5A-SM-2D45J.CEL
GTEX-OXRO-0126-SM-2YUN4	GSM1117357_GTEX-OXRO-0126-SM-2M48E.CEL
GTEX-OXRO-0326-SM-33HBM	GSM1117358_GTEX-OXRO-0326-SM-2D45W.CEL
GTEX-OXRO-1726-SM-3LK6C	GSM1117359_GTEX-OXRO-1726-SM-2D45U.CEL
GTEX-OXRO-1926-SM-2S1O3	GSM1117360_GTEX-OXRO-1926-SM-2M488.CEL
GTEX-OXRO-2026-SM-2YUMZ	GSM1117361_GTEX-OXRO-2026-SM-2M484.CEL
GTEX-OXRP-0006-SM-2I3FN	GSM1117362_GTEX-OXRP-0006-SM-2IZIO.CEL
GTEX-OXRP-0526-SM-2I3EW	GSM1117364_GTEX-OXRP-0526-SM-2D441.CEL
GTEX-OXRP-2326-SM-2S1NL	GSM1117365_GTEX-OXRP-2326-SM-2M476.CEL
GTEX-OXRP-2426-SM-2S1NR	GSM1117366_GTEX-OXRP-2426-SM-2M47D.CEL
GTEX-OXRP-2526-SM-2S1NO	GSM1117367_GTEX-OXRP-2526-SM-2M47A.CEL
GTEX-P44H-0006-SM-2XCFB	GSM1117382_GTEX-P44H-0006-SM-2XV4L.CEL
GTEX-P44H-0011-R10A-SM-2XCEK	GSM1117383_GTEX-P44H-0011-R10A-SM-2XV6E.CEL
GTEX-P44H-0011-R11A-SM-2XCER	GSM1117384_GTEX-P44H-0011-R11A-SM-2XV6S.CEL
GTEX-P44H-0011-R1A-SM-3NM8J	GSM1117385_GTEX-P44H-0011-R1A-SM-2XV5Z.CEL
GTEX-P44H-0011-R4A-SM-2XCEW	GSM1117387_GTEX-P44H-0011-R4A-SM-2XV64.CEL
GTEX-P44H-0011-R5A-SM-2XCEX	GSM1117388_GTEX-P44H-0011-R5A-SM-2XV6B.CEL
GTEX-P44H-0011-R6A-SM-2XCF3	GSM1117389_GTEX-P44H-0011-R6A-SM-2XV5S.CEL
GTEX-P44H-0011-R8A-SM-2XCEL	GSM1117390_GTEX-P44H-0011-R8A-SM-2XV5U.CEL
GTEX-P44H-0226-SM-2XCEU	GSM1117391_GTEX-P44H-0226-SM-2XV67.CEL
GTEX-P44H-0326-SM-2XCES	GSM1117392_GTEX-P44H-0326-SM-2XV4H.CEL
GTEX-P44H-0426-SM-2XCEZ	GSM1117393_GTEX-P44H-0426-SM-2XV5L.CEL
GTEX-P44H-0526-SM-2XCF1	GSM1117394_GTEX-P44H-0526-SM-2XV4U.CEL
GTEX-P44H-0626-SM-2XCF2	GSM1117395_GTEX-P44H-0626-SM-2XV4S.CEL
GTEX-P44H-2426-SM-2XCEJ	GSM1117396_GTEX-P44H-2426-SM-2XV73.CEL
GTEX-P4PP-0005-SM-2HMKX	GSM1117398_GTEX-P4PP-0005-SM-2D45V.CEL
GTEX-P4PP-0126-SM-3LK69	GSM1117399_GTEX-P4PP-0126-SM-2D442.CEL
GTEX-P4PP-0326-SM-33HC4	GSM1117401_GTEX-P4PP-0326-SM-2D43Z.CEL
GTEX-P4PP-0526-SM-2HMKE	GSM1117402_GTEX-P4PP-0526-SM-2M49R.CEL
GTEX-P4PP-1626-SM-2HMJF	GSM1117403_GTEX-P4PP-1626-SM-2D43X.CEL
GTEX-P4PP-1726-SM-2S1NS	GSM1117404_GTEX-P4PP-1726-SM-2M47H.CEL
GTEX-P4PP-1826-SM-2S1NT	GSM1117405_GTEX-P4PP-1826-SM-2M47G.CEL
GTEX-P4PQ-0005-SM-2HMKJ	GSM1117406_GTEX-P4PQ-0005-SM-2D45X.CEL
GTEX-P4PQ-0126-SM-2S1NM	GSM1117407_GTEX-P4PQ-0126-SM-2M47B.CEL
GTEX-P4PQ-0226-SM-2S1NK	GSM1117408_GTEX-P4PQ-0226-SM-2M477.CEL
GTEX-P4PQ-0326-SM-2HMJ8	GSM1117409_GTEX-P4PQ-0326-SM-2D43Y.CEL
GTEX-P4PQ-0526-SM-2HMKR	GSM1117410_GTEX-P4PQ-0526-SM-2D449.CEL
GTEX-P4PQ-1626-SM-2HMKK	GSM1117411_GTEX-P4PQ-1626-SM-2D43W.CEL
GTEX-P4QR-0006-SM-2I5GN	GSM1117413_GTEX-P4QR-0006-SM-2M49O.CEL
GTEX-P4QR-0426-SM-2S1NV	GSM1117415_GTEX-P4QR-0426-SM-2M47O.CEL
GTEX-P4QR-0726-SM-2I5GO	GSM1117416_GTEX-P4QR-0726-SM-2M49P.CEL
GTEX-P4QR-1026-SM-2I5GP	GSM1117417_GTEX-P4QR-1026-SM-2M49Q.CEL
GTEX-P4QS-0005-SM-2I3EY	GSM1117418_GTEX-P4QS-0005-SM-2D447.CEL
GTEX-P4QS-0326-SM-2I3EU	GSM1117419_GTEX-P4QS-0326-SM-2D43U.CEL
GTEX-P4QS-0526-SM-2I3ET	GSM1117420_GTEX-P4QS-0526-SM-2D43T.CEL
GTEX-P4QS-1626-SM-2S1NH	GSM1117421_GTEX-P4QS-1626-SM-2M474.CEL
GTEX-P4QS-1826-SM-2S1NI	GSM1117422_GTEX-P4QS-1826-SM-2M475.CEL
GTEX-P4QS-2626-SM-2I3EV	GSM1117423_GTEX-P4QS-2626-SM-2D43V.CEL
GTEX-P4QT-0226-SM-3LK68	GSM1117424_GTEX-P4QT-0226-SM-2D446.CEL
GTEX-P4QT-0526-SM-2I3EX	GSM1117425_GTEX-P4QT-0526-SM-2D443.CEL
GTEX-P4QT-1626-SM-2S1NP	GSM1117426_GTEX-P4QT-1626-SM-2M47E.CEL
GTEX-P4QT-1726-SM-2S1NQ	GSM1117427_GTEX-P4QT-1726-SM-2M47C.CEL
GTEX-P4QT-1826-SM-2S1NJ	GSM1117428_GTEX-P4QT-1826-SM-2M478.CEL
GTEX-P4QT-2626-SM-2I3FM	GSM1117429_GTEX-P4QT-2626-SM-2IZIN.CEL
GTEX-P78B-0005-SM-2I5GM	GSM1117430_GTEX-P78B-0005-SM-2M49N.CEL
GTEX-P78B-0426-SM-2I5F5	GSM1117431_GTEX-P78B-0426-SM-2M48K.CEL
GTEX-P78B-0526-SM-2I5F7	GSM1117432_GTEX-P78B-0526-SM-2M48M.CEL
GTEX-P78B-0726-SM-2S1O2	GSM1117434_GTEX-P78B-0726-SM-2M48A.CEL
GTEX-P78B-0926-SM-2I5FA	GSM1117435_GTEX-P78B-0926-SM-2M48P.CEL
GTEX-P78B-1626-SM-2S1O1	GSM1117436_GTEX-P78B-1626-SM-2M489.CEL
GTEX-PLZ4-0006-SM-2S1NY	GSM1117437_GTEX-PLZ4-0006-SM-2M47Z.CEL
GTEX-PLZ4-0226-SM-2S1NW	GSM1117439_GTEX-PLZ4-0226-SM-2M482.CEL
GTEX-PLZ4-0726-SM-2TC6Q	GSM1117440_GTEX-PLZ4-0726-SM-2QU59.CEL
GTEX-PLZ4-0926-SM-2S1OI	GSM1117441_GTEX-PLZ4-0926-SM-2QU4F.CEL
GTEX-PLZ4-1226-SM-2I5FE	GSM1117442_GTEX-PLZ4-1226-SM-2M48Q.CEL
GTEX-PLZ4-1326-SM-2S1O7	GSM1117443_GTEX-PLZ4-1326-SM-2QU2W.CEL
GTEX-PLZ5-0006-SM-2S1NZ	GSM1117444_GTEX-PLZ5-0006-SM-2M47Y.CEL
GTEX-PLZ5-0626-SM-2I5F8	GSM1117445_GTEX-PLZ5-0626-SM-2M48N.CEL
GTEX-PLZ5-0726-SM-2I5F9	GSM1117446_GTEX-PLZ5-0726-SM-2M48O.CEL
